page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    2400  1600  icc     3   8  jpeg   no        81  0   190   188  322K 2.9%
   2     1 image    1704  2348  icc     3   8  image  no        84  0   216   215 22.6K 0.2%
   2     2 smask    1704  2348  gray    1   8  image  no        84  0   216   215 23.6K 0.6%
   2     3 image     652   651  icc     3   8  image  no        85  0   703   702 15.9K 1.3%
   2     4 smask     652   651  gray    1   8  image  no        85  0   703   702 49.6K  12%
   2     5 image     395   394  icc     3   8  image  no        86  0   426   425 22.2K 4.9%
   2     6 smask     395   394  gray    1   8  image  no        86  0   426   425 35.5K  23%
   2     7 image     308   256  icc     3   8  image  no        87  0   528   523 10.2K 4.4%
   2     8 smask     308   256  gray    1   8  image  no        87  0   528   523 1633B 2.1%
   2     9 image     308   256  icc     3   8  image  no        88  0   528   523 9227B 3.9%
   2    10 smask     308   256  gray    1   8  image  no        88  0   528   523 1633B 2.1%
   3    11 image    1488  2105  icc     3   8  jpeg   no       144  0   123   124  238K 2.6%
   3    12 image    1704  2348  icc     3   8  image  no       145  0   216   215 22.6K 0.2%
   3    13 smask    1704  2348  gray    1   8  image  no       145  0   216   215 23.6K 0.6%
   3    14 image     652   651  icc     3   8  image  no       146  0   703   702 15.9K 1.3%
   3    15 smask     652   651  gray    1   8  image  no       146  0   703   702 49.6K  12%
   3    16 image     395   394  icc     3   8  image  no       147  0   426   425 22.2K 4.9%
   3    17 smask     395   394  gray    1   8  image  no       147  0   426   425 35.5K  23%
   3    18 image     308   256  icc     3   8  image  no       148  0   528   523 10.2K 4.4%
   3    19 smask     308   256  gray    1   8  image  no       148  0   528   523 1633B 2.1%
   3    20 image     308   256  icc     3   8  image  no       149  0   528   523 9227B 3.9%
   3    21 smask     308   256  gray    1   8  image  no       149  0   528   523 1633B 2.1%
   4    22 image    1488  2105  icc     3   8  jpeg   no       155  0   123   124  238K 2.6%
   4    23 image    1704  2348  icc     3   8  image  no       156  0   216   215 22.6K 0.2%
   4    24 smask    1704  2348  gray    1   8  image  no       156  0   216   215 23.6K 0.6%
   4    25 image     652   651  icc     3   8  image  no       157  0   703   702 15.9K 1.3%
   4    26 smask     652   651  gray    1   8  image  no       157  0   703   702 49.6K  12%
   4    27 image     395   394  icc     3   8  image  no       158  0   426   425 22.2K 4.9%
   4    28 smask     395   394  gray    1   8  image  no       158  0   426   425 35.5K  23%
   4    29 image     308   256  icc     3   8  image  no       159  0   528   523 10.2K 4.4%
   4    30 smask     308   256  gray    1   8  image  no       159  0   528   523 1633B 2.1%
   4    31 image     308   256  icc     3   8  image  no       160  0   528   523 9227B 3.9%
   4    32 smask     308   256  gray    1   8  image  no       160  0   528   523 1633B 2.1%
   5    33 image     835   876  icc     3   8  image  no       167  0   165   165 81.8K 3.8%
   5    34 smask     835   876  gray    1   8  image  no       167  0   165   165  212K  30%
   5    35 image    2798   952  icc     3   8  image  no       168  0  1302  1302 13.4K 0.2%
   5    36 smask    2798   952  gray    1   8  image  no       168  0  1302  1302 57.6K 2.2%
   5    37 image    2798   952  icc     3   8  image  no       168  0  1302  1302 13.4K 0.2%
   5    38 smask    2798   952  gray    1   8  image  no       168  0  1302  1302 57.6K 2.2%
   5    39 image    2798   952  icc     3   8  image  no       168  0  1302  1302 13.4K 0.2%
   5    40 smask    2798   952  gray    1   8  image  no       168  0  1302  1302 57.6K 2.2%
   5    41 image    2798   952  icc     3   8  image  no       168  0  1302  1302 13.4K 0.2%
   5    42 smask    2798   952  gray    1   8  image  no       168  0  1302  1302 57.6K 2.2%
   5    43 image    1008   811  rgb     3   8  image  no     13143  0   300   300 2399B 0.1%
   5    44 smask    1008   811  gray    1   8  image  no     13143  0   300   300 8880B 1.1%
   5    45 image    1008   811  rgb     3   8  image  no     13146  0   300   300 2399B 0.1%
   5    46 smask    1008   811  gray    1   8  image  no     13146  0   300   300 5913B 0.7%
   5    47 image    1008   811  rgb     3   8  image  no     13149  0   300   300 2399B 0.1%
   5    48 smask    1008   811  gray    1   8  image  no     13149  0   300   300 6367B 0.8%
   5    49 image    1008   811  rgb     3   8  image  no     13152  0   300   300 2399B 0.1%
   5    50 smask    1008   811  gray    1   8  image  no     13152  0   300   300 3926B 0.5%
   5    51 image    1008   811  rgb     3   8  image  no     13155  0   300   300 2399B 0.1%
   5    52 smask    1008   811  gray    1   8  image  no     13155  0   300   300 7771B 1.0%
   5    53 image    1008   811  rgb     3   8  image  no     13158  0   300   300 2399B 0.1%
   5    54 smask    1008   811  gray    1   8  image  no     13158  0   300   300 8792B 1.1%
   5    55 image    1008   811  rgb     3   8  image  no     13161  0   300   300 2399B 0.1%
   5    56 smask    1008   811  gray    1   8  image  no     13161  0   300   300 24.3K 3.0%
   6    57 image    1488  2105  icc     3   8  jpeg   no       191  0   123   124  238K 2.6%
   6    58 image    1704  2348  icc     3   8  image  no       192  0   216   215 22.6K 0.2%
   6    59 smask    1704  2348  gray    1   8  image  no       192  0   216   215 23.6K 0.6%
   6    60 image     652   651  icc     3   8  image  no       193  0   703   702 15.9K 1.3%
   6    61 smask     652   651  gray    1   8  image  no       193  0   703   702 49.6K  12%
   6    62 image     395   394  icc     3   8  image  no       194  0   426   425 22.2K 4.9%
   6    63 smask     395   394  gray    1   8  image  no       194  0   426   425 35.5K  23%
   6    64 image     308   256  icc     3   8  image  no       195  0   528   523 10.2K 4.4%
   6    65 smask     308   256  gray    1   8  image  no       195  0   528   523 1633B 2.1%
   6    66 image     308   256  icc     3   8  image  no       196  0   528   523 9227B 3.9%
   6    67 smask     308   256  gray    1   8  image  no       196  0   528   523 1633B 2.1%
   7    68 image    1488  2105  icc     3   8  jpeg   no       204  0   123   124  238K 2.6%
   7    69 image    1704  2348  icc     3   8  image  no       205  0   216   215 22.6K 0.2%
   7    70 smask    1704  2348  gray    1   8  image  no       205  0   216   215 23.6K 0.6%
   7    71 image     652   651  icc     3   8  image  no       206  0   703   702 15.9K 1.3%
   7    72 smask     652   651  gray    1   8  image  no       206  0   703   702 49.6K  12%
   7    73 image     395   394  icc     3   8  image  no       207  0   426   425 22.2K 4.9%
   7    74 smask     395   394  gray    1   8  image  no       207  0   426   425 35.5K  23%
   7    75 image     308   256  icc     3   8  image  no       208  0   528   523 10.2K 4.4%
   7    76 smask     308   256  gray    1   8  image  no       208  0   528   523 1633B 2.1%
   7    77 image     308   256  icc     3   8  image  no       209  0   528   523 9227B 3.9%
   7    78 smask     308   256  gray    1   8  image  no       209  0   528   523 1633B 2.1%
   8    79 image    1488  2105  icc     3   8  jpeg   no       217  0   123   124  238K 2.6%
   8    80 image    1704  2348  icc     3   8  image  no       218  0   216   215 22.6K 0.2%
   8    81 smask    1704  2348  gray    1   8  image  no       218  0   216   215 23.6K 0.6%
   8    82 image     652   651  icc     3   8  image  no       219  0   703   702 15.9K 1.3%
   8    83 smask     652   651  gray    1   8  image  no       219  0   703   702 49.6K  12%
   8    84 image     395   394  icc     3   8  image  no       220  0   426   425 22.2K 4.9%
   8    85 smask     395   394  gray    1   8  image  no       220  0   426   425 35.5K  23%
   8    86 image     308   256  icc     3   8  image  no       221  0   528   523 10.2K 4.4%
   8    87 smask     308   256  gray    1   8  image  no       221  0   528   523 1633B 2.1%
   8    88 image     308   256  icc     3   8  image  no       222  0   528   523 9227B 3.9%
   8    89 smask     308   256  gray    1   8  image  no       222  0   528   523 1633B 2.1%
   9    90 image    1488  2105  icc     3   8  jpeg   no       230  0   123   124  238K 2.6%
   9    91 image    1704  2348  icc     3   8  image  no       231  0   216   215 22.6K 0.2%
   9    92 smask    1704  2348  gray    1   8  image  no       231  0   216   215 23.6K 0.6%
   9    93 image     652   651  icc     3   8  image  no       232  0   703   702 15.9K 1.3%
   9    94 smask     652   651  gray    1   8  image  no       232  0   703   702 49.6K  12%
   9    95 image     395   394  icc     3   8  image  no       233  0   426   425 22.2K 4.9%
   9    96 smask     395   394  gray    1   8  image  no       233  0   426   425 35.5K  23%
   9    97 image     308   256  icc     3   8  image  no       234  0   528   523 10.2K 4.4%
   9    98 smask     308   256  gray    1   8  image  no       234  0   528   523 1633B 2.1%
   9    99 image     308   256  icc     3   8  image  no       235  0   528   523 9227B 3.9%
   9   100 smask     308   256  gray    1   8  image  no       235  0   528   523 1633B 2.1%
  10   101 image    1488  2105  icc     3   8  jpeg   no       243  0   123   124  238K 2.6%
  10   102 image    1704  2348  icc     3   8  image  no       244  0   216   215 22.6K 0.2%
  10   103 smask    1704  2348  gray    1   8  image  no       244  0   216   215 23.6K 0.6%
  10   104 image     652   651  icc     3   8  image  no       245  0   703   702 15.9K 1.3%
  10   105 smask     652   651  gray    1   8  image  no       245  0   703   702 49.6K  12%
  10   106 image     395   394  icc     3   8  image  no       246  0   426   425 22.2K 4.9%
  10   107 smask     395   394  gray    1   8  image  no       246  0   426   425 35.5K  23%
  10   108 image     308   256  icc     3   8  image  no       247  0   528   523 10.2K 4.4%
  10   109 smask     308   256  gray    1   8  image  no       247  0   528   523 1633B 2.1%
  10   110 image     308   256  icc     3   8  image  no       248  0   528   523 9227B 3.9%
  10   111 smask     308   256  gray    1   8  image  no       248  0   528   523 1633B 2.1%
  11   112 image    1488  2105  icc     3   8  jpeg   no       256  0   123   124  238K 2.6%
  11   113 image    1704  2348  icc     3   8  image  no       257  0   216   215 22.6K 0.2%
  11   114 smask    1704  2348  gray    1   8  image  no       257  0   216   215 23.6K 0.6%
  11   115 image     652   651  icc     3   8  image  no       258  0   703   702 15.9K 1.3%
  11   116 smask     652   651  gray    1   8  image  no       258  0   703   702 49.6K  12%
  11   117 image     395   394  icc     3   8  image  no       259  0   426   425 22.2K 4.9%
  11   118 smask     395   394  gray    1   8  image  no       259  0   426   425 35.5K  23%
  11   119 image     308   256  icc     3   8  image  no       260  0   528   523 10.2K 4.4%
  11   120 smask     308   256  gray    1   8  image  no       260  0   528   523 1633B 2.1%
  11   121 image     308   256  icc     3   8  image  no       261  0   528   523 9227B 3.9%
  11   122 smask     308   256  gray    1   8  image  no       261  0   528   523 1633B 2.1%
  12   123 image    1488  2105  icc     3   8  jpeg   no       269  0   123   124  238K 2.6%
  12   124 image    1704  2348  icc     3   8  image  no       270  0   216   215 22.6K 0.2%
  12   125 smask    1704  2348  gray    1   8  image  no       270  0   216   215 23.6K 0.6%
  12   126 image     652   651  icc     3   8  image  no       271  0   703   702 15.9K 1.3%
  12   127 smask     652   651  gray    1   8  image  no       271  0   703   702 49.6K  12%
  12   128 image     395   394  icc     3   8  image  no       272  0   426   425 22.2K 4.9%
  12   129 smask     395   394  gray    1   8  image  no       272  0   426   425 35.5K  23%
  12   130 image     308   256  icc     3   8  image  no       273  0   528   523 10.2K 4.4%
  12   131 smask     308   256  gray    1   8  image  no       273  0   528   523 1633B 2.1%
  12   132 image     308   256  icc     3   8  image  no       274  0   528   523 9227B 3.9%
  12   133 smask     308   256  gray    1   8  image  no       274  0   528   523 1633B 2.1%
  13   134 image    1488  2105  icc     3   8  jpeg   no       282  0   123   124  238K 2.6%
  13   135 image    1704  2348  icc     3   8  image  no       283  0   216   215 22.6K 0.2%
  13   136 smask    1704  2348  gray    1   8  image  no       283  0   216   215 23.6K 0.6%
